time_s	force_N	net_thrust_N
0.000000	-0.533584	-0.614181
0.003125	-0.533584	-0.614181
0.006250	-0.533584	-0.614181
0.009375	-0.915062	-0.995659
0.012500	0.229374	0.148777
0.015625	0.229374	0.148777
0.018750	0.229374	0.148777
0.021875	0.610853	0.530255
0.025000	0.229374	0.148777
0.028125	0.992331	0.911734
0.031250	-0.533584	-0.614181
0.034375	0.610853	0.530255
0.037500	0.229374	0.148777
0.040625	-0.152105	-0.232702
0.043750	0.229374	0.148777
0.046875	0.610853	0.530255
0.050000	-0.533584	-0.614181
0.053125	-0.152105	-0.232702
0.056250	-0.533584	-0.614181
0.059375	0.229374	0.148777
0.062500	-0.533584	-0.614181
0.065625	-0.152105	-0.232702
0.068750	0.229374	0.148777
0.071875	0.229374	0.148777
0.075000	-0.533584	-0.614181
0.078125	-0.533584	-0.614181
0.081250	0.229374	0.148777
0.084375	0.229374	0.148777
0.087500	-0.152105	-0.232702
0.090625	1.373810	1.293213
0.093750	0.610853	0.530255
0.096875	-0.152105	-0.232702
0.100000	0.610853	0.530255
0.103125	-0.152105	-0.232702
0.106250	-0.533584	-0.614181
0.109375	0.229374	0.148777
0.112500	0.229374	0.148777
0.115625	0.610853	0.530255
0.118750	-0.533584	-0.614181
0.121875	-0.152105	-0.232702
0.125000	-1.296541	-1.377138
0.128125	-1.296541	-1.377138
0.131250	0.229374	0.148777
0.134375	0.229374	0.148777
0.137500	0.610853	0.530255
0.140625	-0.152105	-0.232702
0.143750	-0.152105	-0.232702
0.146875	-0.152105	-0.232702
0.150000	0.610853	0.530255
0.153125	0.229374	0.148777
0.156250	0.610853	0.530255
0.159375	0.610853	0.530255
0.162500	0.229374	0.148777
0.165625	-0.152105	-0.232702
0.168750	0.229374	0.148777
0.171875	-0.152105	-0.232702
0.175000	0.610853	0.530255
0.178125	-0.152105	-0.232702
0.181250	0.610853	0.530255
0.184375	-0.152105	-0.232702
0.187500	-0.152105	-0.232702
0.190625	-0.152105	-0.232702
0.193750	0.229374	0.148777
0.196875	-0.152105	-0.232702
0.200000	-0.152105	-0.232702
0.203125	0.610853	0.530255
0.206250	0.610853	0.530255
0.209375	0.610853	0.530255
0.212500	-0.152105	-0.232702
0.215625	0.229374	0.148777
0.218750	0.610853	0.530255
0.221875	-0.152105	-0.232702
0.225000	0.229374	0.148777
0.228125	0.229374	0.148777
0.231250	-0.152105	-0.232702
0.234375	0.229374	0.148777
0.237500	0.229374	0.148777
0.240625	-0.152105	-0.232702
0.243750	-0.533584	-0.614181
0.246875	-1.296541	-1.377138
0.250000	-0.533584	-0.614181
0.253125	-0.533584	-0.614181
0.256250	0.610853	0.530255
0.259375	0.229374	0.148777
0.262500	-0.152105	-0.232702
0.265625	0.229374	0.148777
0.268750	0.229374	0.148777
0.271875	0.229374	0.148777
0.275000	0.610853	0.530255
0.278125	0.229374	0.148777
0.281250	0.992331	0.911734
0.284375	-0.152105	-0.232702
0.287500	0.610853	0.530255
0.290625	0.610853	0.530255
0.293750	0.229374	0.148777
0.296875	0.229374	0.148777
0.300000	-0.152105	-0.232702
0.303125	0.610853	0.530255
0.306250	-0.152105	-0.232702
0.309375	0.992331	0.911734
0.312500	0.610853	0.530255
0.315625	-0.152105	-0.232702
0.318750	-0.152105	-0.232702
0.321875	-0.152105	-0.232702
0.325000	-0.152105	-0.232702
0.328125	-0.152105	-0.232702
0.331250	0.610853	0.530255
0.334375	-0.533584	-0.614181
0.337500	-0.915062	-0.995659
0.340625	-0.915062	-0.995659
0.343750	-0.533584	-0.614181
0.346875	0.610853	0.530255
0.350000	0.229374	0.148777
0.353125	-0.152105	-0.232702
0.356250	0.229374	0.148777
0.359375	-0.533584	-0.614181
0.362500	0.610853	0.530255
0.365625	0.610853	0.530255
0.368750	-0.533584	-0.614181
0.371875	-1.296541	-1.377138
0.375000	-1.296541	-1.377138
0.378125	-1.296541	-1.377138
0.381250	-0.152105	-0.232702
0.384375	-0.152105	-0.232702
0.387500	-0.152105	-0.232702
0.390625	-0.533584	-0.614181
0.393750	-0.152105	-0.232702
0.396875	0.992331	0.911734
0.400000	-0.152105	-0.232702
0.403125	-0.152105	-0.232702
0.406250	0.992331	0.911734
0.409375	0.610853	0.530255
0.412500	0.229374	0.148777
0.415625	0.229374	0.148777
0.418750	0.229374	0.148777
0.421875	0.610853	0.530255
0.425000	-0.152105	-0.232702
0.428125	-0.533584	-0.614181
0.431250	0.229374	0.148777
0.434375	0.229374	0.148777
0.437500	-0.533584	-0.614181
0.440625	0.229374	0.148777
0.443750	0.229374	0.148777
0.446875	-0.533584	-0.614181
0.450000	0.229374	0.148777
0.453125	0.610853	0.530255
0.456250	0.610853	0.530255
0.459375	-0.533584	-0.614181
0.462500	-0.915062	-0.995659
0.465625	0.229374	0.148777
0.468750	-0.152105	-0.232702
0.471875	-0.152105	-0.232702
0.475000	0.229374	0.148777
0.478125	0.610853	0.530255
0.481250	0.229374	0.148777
0.484375	0.610853	0.530255
0.487500	0.229374	0.148777
0.490625	0.610853	0.530255
0.493750	-1.296541	-1.377138
0.496875	-0.152105	-0.232702
0.500000	-0.533584	-0.614181
0.503125	0.229374	0.148777
0.506250	-0.152105	-0.232702
0.509375	-0.152105	-0.232702
0.512500	-0.533584	-0.614181
0.515625	0.610853	0.530255
0.518750	-0.533584	-0.614181
0.521875	0.610853	0.530255
0.525000	0.229374	0.148777
0.528125	0.229374	0.148777
0.531250	0.229374	0.148777
0.534375	0.229374	0.148777
0.537500	-0.533584	-0.614181
0.540625	0.229374	0.148777
0.543750	0.610853	0.530255
0.546875	0.610853	0.530255
0.550000	0.229374	0.148777
0.553125	0.610853	0.530255
0.556250	-0.152105	-0.232702
0.559375	0.229374	0.148777
0.562500	-0.533584	-0.614181
0.565625	-0.152105	-0.232702
0.568750	-0.152105	-0.232702
0.571875	-0.152105	-0.232702
0.575000	-0.152105	-0.232702
0.578125	-0.533584	-0.614181
0.581250	0.229374	0.148777
0.584375	-0.152105	-0.232702
0.587500	-0.152105	-0.232702
0.590625	0.229374	0.148777
0.593750	-0.152105	-0.232702
0.596875	-0.533584	-0.614181
0.600000	-0.152105	-0.232702
0.603125	-0.152105	-0.232702
0.606250	0.992331	0.911734
0.609375	-0.152105	-0.232702
0.612500	-0.152105	-0.232702
0.615625	-2.059498	-2.140095
0.618750	-0.533584	-0.614181
0.621875	-0.915062	-0.995659
0.625000	0.229374	0.148777
0.628125	0.229374	0.148777
0.631250	-0.152105	-0.232702
0.634375	0.229374	0.148777
0.637500	-0.152105	-0.232702
0.640625	-0.533584	-0.614181
0.643750	0.229374	0.148777
0.646875	-0.152105	-0.232702
0.650000	-0.915062	-0.995659
0.653125	0.610853	0.530255
0.656250	-0.533584	-0.614181
0.659375	0.610853	0.530255
0.662500	0.992331	0.911734
0.665625	0.992331	0.911734
0.668750	-0.152105	-0.232702
0.671875	-0.915062	-0.995659
0.675000	-0.152105	-0.232702
0.678125	-0.152105	-0.232702
0.681250	-0.152105	-0.232702
0.684375	0.229374	0.148777
0.687500	0.610853	0.530255
0.690625	-0.533584	-0.614181
0.693750	0.992331	0.911734
0.696875	0.992331	0.911734
0.700000	0.229374	0.148777
0.703125	0.229374	0.148777
0.706250	0.229374	0.148777
0.709375	0.610853	0.530255
0.712500	-0.533584	-0.614181
0.715625	-0.533584	-0.614181
0.718750	-0.152105	-0.232702
0.721875	0.229374	0.148777
0.725000	0.229374	0.148777
0.728125	0.610853	0.530255
0.731250	-0.533584	-0.614181
