time_s	raw_force_N	drift_model_N	corrected_force_N	filtered_force_N	raw_gauge_pressure	filtered_gauge_pressure
0.000000	5.680012	4.620196	1.059816	1.058711	0.001108	0.006328
0.003125	5.296572	4.620034	0.676537	0.959814	-0.012392	0.005528
0.006250	4.913132	4.619873	0.293258	0.898992	-0.017792	0.004733
0.009375	5.680012	4.619712	1.060299	0.900342	-0.020492	0.003944
0.012500	4.146252	4.619551	-0.473300	0.966050	-0.017792	0.003165
0.015625	6.446892	4.619390	1.827502	1.071737	-0.017792	0.002394
0.018750	6.446892	4.619229	1.827663	1.173634	-0.023192	0.001634
0.021875	6.446892	4.619068	1.827824	1.236417	0.017308	0.000886
0.025000	5.680012	4.618907	1.061105	1.254993	-0.001592	0.000149
0.028125	5.680012	4.618746	1.061266	1.247727	-0.025892	-0.000575
0.031250	5.680012	4.618585	1.061427	1.236664	0.006508	-0.001286
0.034375	5.680012	4.618424	1.061588	1.235280	-0.015092	-0.001984
0.037500	5.680012	4.618263	1.061749	1.245748	-0.015092	-0.002668
0.040625	6.446892	4.618102	1.828790	1.261983	0.001108	-0.003338
0.043750	6.063452	4.617941	1.445511	1.279705	-0.006992	-0.003993
0.046875	5.296572	4.617780	0.678792	1.304587	-0.001592	-0.004634
0.050000	5.680012	4.617619	1.062393	1.343463	0.020008	-0.005261
0.053125	6.446892	4.617458	1.829434	1.390525	0.025408	-0.005873
0.056250	6.446892	4.617296	1.829595	1.432602	-0.015092	-0.006469
0.059375	5.680012	4.617135	1.062876	1.464668	0.001108	-0.007050
0.062500	5.680012	4.616974	1.063037	1.488877	0.014608	-0.007613
0.065625	6.830332	4.616813	2.213518	1.501967	0.001108	-0.008159
0.068750	6.446892	4.616652	1.830239	1.498365	0.017308	-0.008686
0.071875	5.680012	4.616491	1.063520	1.484585	-0.006992	-0.009194
0.075000	5.680012	4.616330	1.063681	1.476255	-0.012392	-0.009679
0.078125	6.063452	4.616169	1.447282	1.480456	-0.031292	-0.010142
0.081250	6.446892	4.616008	1.830884	1.490022	-0.033992	-0.010580
0.084375	6.063452	4.615847	1.447605	1.494029	-0.017792	-0.010993
0.087500	6.446892	4.615686	1.831206	1.488083	-0.028592	-0.011378
0.090625	5.680012	4.615525	1.064487	1.475709	-0.063692	-0.011737
0.093750	6.446892	4.615364	1.831528	1.464124	-0.055592	-0.012067
0.096875	5.680012	4.615203	1.064809	1.460276	-0.052892	-0.012369
0.100000	6.063452	4.615042	1.448410	1.468364	-0.017792	-0.012643
0.103125	6.063452	4.614881	1.448571	1.486945	0.038908	-0.012890
0.106250	6.063452	4.614720	1.448732	1.508485	-0.001592	-0.013111
0.109375	6.063452	4.614559	1.448893	1.521446	-0.028592	-0.013306
0.112500	6.446892	4.614398	1.832494	1.512313	-0.012392	-0.013475
0.115625	6.446892	4.614237	1.832655	1.471231	-0.017792	-0.013620
0.118750	5.680012	4.614076	1.065936	1.398910	-0.017792	-0.013740
0.121875	6.063452	4.613915	1.449537	1.304680	-0.025892	-0.013836
0.125000	5.680012	4.613754	1.066258	1.198719	-0.039392	-0.013908
0.128125	6.063452	4.613593	1.449859	1.090133	-0.033992	-0.013957
0.131250	6.063452	4.613432	1.450020	0.993336	-0.028592	-0.013985
0.134375	4.913132	4.613271	0.299861	0.934413	-0.006992	-0.013991
0.137500	4.529692	4.613110	-0.083418	0.941355	-0.023192	-0.013978
0.140625	5.680012	4.612949	1.067063	1.019821	0.006508	-0.013948
0.143750	6.063452	4.612788	1.450664	1.145015	-0.031292	-0.013900
0.146875	6.063452	4.612627	1.450825	1.280109	-0.015092	-0.013836
0.150000	6.446892	4.612466	1.834426	1.396614	-0.039392	-0.013759
0.153125	6.446892	4.612305	1.834587	1.483350	-0.020492	-0.013669
0.156250	5.296572	4.612144	0.684428	1.545512	-0.020492	-0.013567
0.159375	6.446892	4.611983	1.834909	1.591556	-0.004292	-0.013457
0.162500	6.446892	4.611822	1.835070	1.621524	0.009208	-0.013338
0.165625	6.063452	4.611661	1.451791	1.631687	-0.012392	-0.013214
0.168750	6.063452	4.611500	1.451952	1.620305	-0.015092	-0.013086
0.171875	6.446892	4.611339	1.835553	1.584047	-0.001592	-0.012955
0.175000	6.446892	4.611178	1.835714	1.518824	-0.012392	-0.012822
0.178125	6.063452	4.611017	1.452435	1.428212	0.009208	-0.012689
0.181250	6.063452	4.610856	1.452596	1.327446	0.022708	-0.012558
0.184375	5.296572	4.610695	0.685876	1.238107	0.020008	-0.012429
0.187500	5.680012	4.610534	1.069477	1.177244	-0.020492	-0.012303
0.190625	6.063452	4.610373	1.453078	1.150420	-0.001592	-0.012180
0.193750	5.296572	4.610212	0.686359	1.155371	-0.015092	-0.012061
0.196875	6.063452	4.610051	1.453400	1.186773	-0.001592	-0.011945
0.200000	5.680012	4.609890	1.070121	1.236112	-0.006992	-0.011835
0.203125	5.680012	4.609729	1.070282	1.291493	-0.025892	-0.011728
0.206250	6.830332	4.609568	2.220763	1.339437	-0.023192	-0.011626
0.209375	5.680012	4.609407	1.070604	1.372367	-0.020492	-0.011529
0.212500	5.680012	4.609247	1.070765	1.393366	-0.015092	-0.011437
0.215625	6.446892	4.609086	1.837806	1.408006	0.009208	-0.011351
0.218750	6.063452	4.608925	1.454527	1.419863	-0.009692	-0.011271
0.221875	5.296572	4.608764	0.687808	1.434007	-0.009692	-0.011197
0.225000	6.446892	4.608603	1.838289	1.451592	0.003808	-0.011131
0.228125	6.063452	4.608442	1.455010	1.464441	0.041608	-0.011071
0.231250	6.446892	4.608281	1.838611	1.463224	0.006508	-0.011018
0.234375	5.680012	4.608120	1.071892	1.445980	-0.004292	-0.010972
0.237500	6.446892	4.607959	1.838933	1.416758	-0.015092	-0.010932
0.240625	6.063452	4.607798	1.455654	1.383577	-0.009692	-0.010896
0.243750	5.296572	4.607637	0.688935	1.358516	-0.017792	-0.010865
0.246875	6.063452	4.607476	1.455976	1.350402	-0.015092	-0.010838
0.250000	6.063452	4.607315	1.456136	1.357096	-0.039392	-0.010813
0.253125	5.680012	4.607154	1.072857	1.369084	0.001108	-0.010791
0.256250	6.063452	4.606993	1.456458	1.373881	-0.001592	-0.010770
0.259375	6.446892	4.606832	1.840059	1.357181	-0.020492	-0.010751
0.262500	6.063452	4.606672	1.456780	1.310531	-0.025892	-0.010732
0.265625	6.063452	4.606511	1.456941	1.240177	0.011908	-0.010714
0.268750	5.680012	4.606350	1.073662	1.166794	-0.015092	-0.010695
0.271875	4.913132	4.606189	0.306943	1.115731	-0.012392	-0.010676
0.275000	5.680012	4.606028	1.073984	1.101283	-0.039392	-0.010656
0.278125	6.063452	4.605867	1.457585	1.118932	-0.025892	-0.010635
0.281250	5.680012	4.605706	1.074306	1.155422	-0.033992	-0.010612
0.284375	6.063452	4.605545	1.457907	1.201618	-0.006992	-0.010588
0.287500	5.680012	4.605384	1.074627	1.255019	-0.015092	-0.010562
0.290625	6.063452	4.605223	1.458228	1.316948	-0.004292	-0.010536
0.293750	5.296572	4.605062	0.691509	1.387669	0.014608	-0.010509
0.296875	6.446892	4.604901	1.841990	1.459493	-0.006992	-0.010481
0.300000	6.063452	4.604741	1.458711	1.515602	-0.004292	-0.010453
0.303125	6.446892	4.604580	1.842312	1.538109	-0.004292	-0.010424
0.306250	6.446892	4.604419	1.842473	1.517136	-0.004292	-0.010395
0.309375	6.446892	4.604258	1.842634	1.457241	-0.020492	-0.010365
0.312500	5.680012	4.604097	1.075915	1.380104	-0.015092	-0.010334
0.315625	5.296572	4.603936	0.692636	1.315587	-0.036692	-0.010302
0.318750	5.680012	4.603775	1.076236	1.283093	0.006508	-0.010269
0.321875	6.063452	4.603614	1.459837	1.281479	-0.017792	-0.010234
0.325000	6.063452	4.603453	1.459998	1.297163	-0.006992	-0.010198
0.328125	6.063452	4.603293	1.460159	1.318186	-0.023192	-0.010161
0.331250	5.680012	4.603132	1.076880	1.339632	-0.001592	-0.010123
0.334375	6.063452	4.602971	1.460481	1.359466	-0.006992	-0.010085
0.337500	6.063452	4.602810	1.460642	1.374251	-0.015092	-0.010045
0.340625	6.063452	4.602649	1.460803	1.381034	-0.017792	-0.010005
0.343750	5.680012	4.602488	1.077524	1.379527	-0.020492	-0.009965
0.346875	6.446892	4.602327	1.844564	1.370195	-0.015092	-0.009924
0.350000	5.680012	4.602166	1.077845	1.354345	0.001108	-0.009884
0.353125	6.446892	4.602006	1.844886	1.337694	-0.012392	-0.009844
0.356250	5.296572	4.601845	0.694727	1.331187	-0.012392	-0.009805
0.359375	6.063452	4.601684	1.461768	1.345698	0.001108	-0.009766
0.362500	5.680012	4.601523	1.078489	1.384589	-0.006992	-0.009730
0.365625	6.063452	4.601362	1.462090	1.441200	-0.028592	-0.009695
0.368750	6.063452	4.601201	1.462251	1.501138	-0.006992	-0.009661
0.371875	6.446892	4.601040	1.845851	1.546706	0.011908	-0.009630
0.375000	6.446892	4.600879	1.846012	1.564232	-0.006992	-0.009602
0.378125	6.063452	4.600719	1.462733	1.550671	-0.023192	-0.009576
0.381250	6.063452	4.600558	1.462894	1.512611	-0.001592	-0.009554
0.384375	5.680012	4.600397	1.079615	1.457906	-0.017792	-0.009534
0.387500	6.446892	4.600236	1.846656	1.388805	0.001108	-0.009517
0.390625	6.063452	4.600075	1.463376	1.305325	0.006508	-0.009504
0.393750	5.680012	4.599914	1.080097	1.214105	-0.036692	-0.009495
0.396875	5.680012	4.599754	1.080258	1.128938	-0.001592	-0.009489
0.400000	6.063452	4.599593	1.463859	1.065542	0.022708	-0.009487
0.403125	4.529692	4.599432	-0.069740	1.038908	0.041608	-0.009489
0.406250	5.680012	4.599271	1.080741	1.054782	-0.006992	-0.009494
0.409375	6.063452	4.599110	1.464342	1.100648	0.001108	-0.009502
0.412500	5.680012	4.598949	1.081062	1.154151	0.017308	-0.009512
0.415625	6.446892	4.598788	1.848103	1.198974	-0.025892	-0.009524
0.418750	5.296572	4.598628	0.697944	1.231028	-0.004292	-0.009534
0.421875	6.063452	4.598467	1.464985	1.254273	-0.001592	-0.009544
0.425000	6.063452	4.598306	1.465146	1.274080	-0.009692	-0.009551
0.428125	5.296572	4.598145	0.698426	1.295617	0.006508	-0.009553
0.431250	6.063452	4.597984	1.465467	1.320949	-0.023192	-0.009551
0.434375	6.063452	4.597824	1.465628	1.344627	-0.036692	-0.009542
0.437500	6.446892	4.597663	1.849229	1.359793	-0.031292	-0.009526
0.440625	5.680012	4.597502	1.082510	1.368954	-0.025892	-0.009500
0.443750	5.680012	4.597341	1.082671	1.382958	-0.036692	-0.009465
0.446875	5.680012	4.597180	1.082831	1.408062	-0.020492	-0.009420
0.450000	6.830332	4.597019	2.233312	1.438852	-0.004292	-0.009365
0.453125	5.680012	4.596859	1.083153	1.467373	0.003808	-0.009300
0.456250	6.063452	4.596698	1.466754	1.491984	-0.006992	-0.009223
0.459375	6.446892	4.596537	1.850355	1.514124	-0.009692	-0.009136
0.462500	6.063452	4.596376	1.467076	1.536733	-0.020492	-0.009038
0.465625	5.680012	4.596215	1.083796	1.565789	-0.004292	-0.008929
0.468750	6.063452	4.596055	1.467397	1.602699	0.014608	-0.008808
0.471875	6.446892	4.595894	1.850998	1.636423	0.003808	-0.008675
0.475000	6.830332	4.595733	2.234599	1.650542	-0.012392	-0.008529
0.478125	6.063452	4.595572	1.467880	1.638202	-0.017792	-0.008371
0.481250	6.063452	4.595411	1.468040	1.605966	-0.025892	-0.008199
0.484375	6.063452	4.595251	1.468201	1.563869	-0.015092	-0.008014
0.487500	6.830332	4.595090	2.235242	1.519615	-0.001592	-0.007814
0.490625	5.296572	4.594929	0.701643	1.483994	-0.017792	-0.007599
0.493750	6.063452	4.594768	1.468683	1.470325	-0.017792	-0.007370
0.496875	5.680012	4.594607	1.085404	1.482750	0.020008	-0.007126
0.500000	6.446892	4.594447	1.852445	1.510955	0.006508	-0.006867
0.503125	6.063452	4.594286	1.469166	1.537247	-0.036692	-0.006592
0.506250	6.446892	4.594125	1.852767	1.545870	-0.039392	-0.006302
0.509375	6.063452	4.593964	1.469487	1.527876	0.001108	-0.005996
0.512500	6.063452	4.593804	1.469648	1.480876	-0.006992	-0.005674
0.515625	6.063452	4.593643	1.469809	1.405739	-0.031292	-0.005337
0.518750	6.063452	4.593482	1.469970	1.305020	0.009208	-0.004985
0.521875	6.063452	4.593321	1.470130	1.186092	0.011908	-0.004618
0.525000	5.296572	4.593160	0.703411	1.064245	-0.020492	-0.004236
0.528125	5.296572	4.593000	0.703572	0.957644	0.009208	-0.003840
0.531250	5.680012	4.592839	1.087173	0.877875	-0.039392	-0.003430
0.534375	5.680012	4.592678	1.087334	0.830268	-0.017792	-0.003007
0.537500	5.296572	4.592517	0.704054	0.823254	-0.001592	-0.002570
0.540625	4.913132	4.592357	0.320775	0.869593	-0.001592	-0.002120
0.543750	5.296572	4.592196	0.704376	0.974398	-0.028592	-0.001659
0.546875	5.680012	4.592035	1.087977	1.124556	-0.028592	-0.001187
0.550000	6.063452	4.591874	1.471577	1.291597	-0.015092	-0.000705
0.553125	6.446892	4.591714	1.855178	1.444226	-0.017792	-0.000215
0.556250	6.446892	4.591553	1.855339	1.561391	0.014608	0.000281
0.559375	6.063452	4.591392	1.472060	1.638407	-0.009692	0.000783
0.562500	6.446892	4.591231	1.855660	1.682778	-0.012392	0.001289
0.565625	6.063452	4.591071	1.472381	1.706123	-0.006992	0.001796
0.568750	6.063452	4.590910	1.472542	1.718038	0.009208	0.002302
0.571875	6.446892	4.590749	1.856143	1.721330	-0.012392	0.002807
0.575000	6.446892	4.590588	1.856303	1.712695	0.006508	0.003307
0.578125	6.063452	4.590428	1.473024	1.688639	0.011908	0.003801
0.581250	6.446892	4.590267	1.856625	1.647645	0.006508	0.004286
