========================================================================
STATIC FIRE REPORT
========================================================================

Input file: TMS\Data\2026\4_2\TMS_4_12.TXT
Drift reference: TMS\Data\2026\4_2\loadcell_drift.TXT
Sampling rate: 320 sps

------------------------------------------------------------------------
LOADCELL / THRUST SUMMARY
------------------------------------------------------------------------
Peak thrust: 90.26 N
Total impulse: 119.52 N s
Average thrust: 19.84 N
3 percent threshold: 2.71 N
Ignition starts at the first sample above the 3 percent threshold.
Burn ends at the last sample above the 3 percent threshold.
Ignition time: 2528.1 ms
Burn end: 8553.1 ms
Burn time: 6025.0 ms
Ignition delay: 2528.1 ms
Loadcell filter: Butterworth low-pass 5.0 Hz, order 2

------------------------------------------------------------------------
DRIFT MODEL
------------------------------------------------------------------------
Model: y = 14.083910 * exp(-0.003660 * t) + -9.463715
Fit R^2: 0.975999

------------------------------------------------------------------------
BAROMETER / PRESSURE SUMMARY
------------------------------------------------------------------------
Pressure conversion: y = 0.0027x -0.11
Gauge baseline removed: -0.157008
Peak pressure: 0.038 at 6.362 s
Pressure span: 0.056
Pressure std: 0.009
Pressure filter: Butterworth low-pass 3.0 Hz, order 2

------------------------------------------------------------------------
CALIBRATION TRACEABILITY
------------------------------------------------------------------------
Calibration slope: -0.039100 kg/ADC
Calibration intercept: -193.0049 kg
Calibration R^2: 0.999948

========================================================================

========================================================================
PIPELINE DATA
========================================================================
time_s	raw_force_N	drift_model_N	corrected_force_N	filtered_force_N	raw_gauge_pressure	filtered_gauge_pressure
0.000000	5.680012	4.620196	1.059816	1.114246	0.001108	0.006328
0.003125	5.296572	4.620034	0.676537	1.124200	-0.012392	0.005528
0.006250	4.913132	4.619873	0.293258	1.134772	-0.017792	0.004733
0.009375	5.680012	4.619712	1.060299	1.145978	-0.020492	0.003944
0.012500	4.146252	4.619551	-0.473300	1.157782	-0.017792	0.003165
0.015625	6.446892	4.619390	1.827502	1.170090	-0.017792	0.002394
0.018750	6.446892	4.619229	1.827663	1.182761	-0.023192	0.001634
0.021875	6.446892	4.619068	1.827824	1.195659	0.017308	0.000886
0.025000	5.680012	4.618907	1.061105	1.208690	-0.001592	0.000149
0.028125	5.680012	4.618746	1.061266	1.221795	-0.025892	-0.000575
0.031250	5.680012	4.618585	1.061427	1.234926	0.006508	-0.001286
0.034375	5.680012	4.618424	1.061588	1.248023	-0.015092	-0.001984
0.037500	5.680012	4.618263	1.061749	1.261009	-0.015092	-0.002668
0.040625	6.446892	4.618102	1.828790	1.273797	0.001108	-0.003338
0.043750	6.063452	4.617941	1.445511	1.286298	-0.006992	-0.003993
0.046875	5.296572	4.617780	0.678792	1.298440	-0.001592	-0.004634
0.050000	5.680012	4.617619	1.062393	1.310150	0.020008	-0.005261
0.053125	6.446892	4.617458	1.829434	1.321339	0.025408	-0.005873
0.056250	6.446892	4.617296	1.829595	1.331909	-0.015092	-0.006469
0.059375	5.680012	4.617135	1.062876	1.341783	0.001108	-0.007050
0.062500	5.680012	4.616974	1.063037	1.350901	0.014608	-0.007613
0.065625	6.830332	4.616813	2.213518	1.359206	0.001108	-0.008159
