time_s	force_N
0.000000	-0.109821
0.002070	-0.888469
0.004140	-1.277793
0.006210	-0.888469
0.008280	-0.499145
0.010350	-0.499145
0.012420	-0.499145
0.014490	-0.109821
0.016560	-0.109821
0.018630	-0.888469
0.020700	-0.888469
0.022770	-2.056441
0.024840	-0.109821
0.026910	-0.109821
0.028980	-0.888469
0.031050	0.668827
0.033120	-0.499145
0.035190	-0.499145
0.037260	-0.499145
0.039330	-0.499145
0.041400	-0.499145
0.043470	-1.277793
0.045540	-0.109821
0.047610	-0.499145
0.049680	-1.277793
0.051750	0.279503
0.053820	-0.499145
0.055890	-0.499145
0.057960	-1.277793
0.060030	-0.499145
0.062100	0.668827
0.064170	-0.109821
0.066240	0.279503
0.068310	-0.499145
0.070380	-1.277793
0.072450	-1.277793
0.074520	-0.499145
0.076590	0.668827
0.078660	-0.888469
0.080730	-0.888469
0.082800	-0.499145
0.084870	0.279503
0.086940	-0.499145
0.089010	0.668827
0.091080	0.279503
0.093150	-0.499145
0.095220	-0.499145
0.097290	0.279503
0.099360	-1.277793
0.101430	-0.499145
0.103500	-0.888469
0.105570	-0.109821
0.107640	-0.109821
0.109710	-0.109821
0.111780	-0.499145
0.113850	-1.277793
0.115920	-0.499145
0.117990	-1.277793
0.120060	-0.499145
0.122130	-0.109821
0.124200	-0.109821
0.126270	-0.888469
0.128340	-0.109821
0.130410	-0.499145
0.132480	1.058151
0.134550	-1.277793
0.136620	-0.499145
0.138690	-0.499145
0.140760	-1.277793
0.142830	-0.109821
0.144900	-0.499145
0.146970	-0.888469
0.149040	-0.109821
0.151110	-0.109821
0.153180	-1.277793
0.155250	-1.277793
0.157320	-0.109821
0.159390	-0.499145
0.161460	-0.109821
0.163530	-0.888469
0.165600	-0.499145
0.167670	-0.109821
0.169740	-0.888469
0.171810	-0.109821
0.173880	-0.109821
0.175950	-0.888469
0.178020	-0.109821
0.180090	-0.109821
0.182160	-0.888469
0.184230	-0.499145
0.186300	-0.499145
0.188370	-0.499145
0.190440	-0.499145
0.192510	-0.888469
0.194580	-1.277793
0.196650	-0.499145
0.198720	-1.277793
0.200790	-0.109821
0.202860	-0.109821
0.204930	-0.109821
0.207000	-0.109821
